title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Ford Mondeo,https://www.otomoto.pl/oferta/ford-mondeo-ford-mondeo-1-6-benzyna-125km-2009-serwis-bogaty-ID6C57EP.html#19d36f26aa,2009 ,111 000 km,1 600 cm3,Benzyna,22 999,PLN,Leszno,(Wielkopolskie)
Škoda Karoq 1.6,https://www.otomoto.pl/oferta/skoda-karoq-1-6-tdi-115km-style-dostepny-od-reki-ID6DeeTO.html#19d36f26aa,2020 ,1 km,1 598 cm3,Diesel,116 300,PLN,Wrocław,(Dolnośląskie)
Volkswagen Multivan,https://www.otomoto.pl/oferta/volkswagen-multivan-volkswagen-t5-multivan-2005-rok-2-5-tdi-174-2drzwi-suwane-ID6Di1vj.html#19d36f26aa,2005 ,350 000 km,2 500 cm3,Diesel,31 000,PLN,Lubin,(Dolnośląskie)
Peugeot 308 1.4,https://www.otomoto.pl/oferta/peugeot-308-102000-ID6D8xqU.html#19d36f26aa,2008 ,102 000 km,1 397 cm3,Benzyna,14 950,PLN,Tomaszów Lubelski,(Lubelskie)
Volvo V60,https://www.otomoto.pl/oferta/volvo-v60-d3-automat-xenon-led-navi-gwarancja-ID6DnNRo.html#19d36f26aa,2017 ,150 000 km,2 000 cm3,Diesel,59 900,PLN,Kamienna Góra,(Dolnośląskie)
Nissan Qashqai 1.6,https://www.otomoto.pl/oferta/nissan-qashqai-nissan-qashqai-1-6-salon-pl-pelna-fv-ID6Dszfw.html#19d36f26aa,2009 ,133 000 km,1 598 cm3,Benzyna,27 500,PLN,Poznań,(Wielkopolskie)
BMW X1,https://www.otomoto.pl/oferta/bmw-x1-2-0-l-diesel-185-km-panorama-navi-xenon-led-przebieg-oryginalny-ID6CVO3N.html#19d36f26aa,2014 ,52 000 km,1 995 cm3,Diesel,61 000,PLN,Tychy,(Śląskie)
Audi A6 2.0,https://www.otomoto.pl/oferta/audi-a6-2-0tdi-190km-ultra-s-tronic-quattro-vw-cichy-zasada-warszawa-ID6Dwfi8.html#19d36f26aa,2018 ,32 032 km,1 968 cm3,Diesel,170 000,PLN,Warszawa,(Mazowieckie)
Volkswagen Polo 1.2,https://www.otomoto.pl/oferta/volkswagen-polo-volkswagen-vw-polo-1-2-benzyna-tylko-109-000-km-9n-ID6DvwPB.html#19d36f26aa,2003 ,109 000 km,1 198 cm3,Benzyna,4 900,PLN,Krzyż Wielkopolski,(Wielkopolskie)
Suzuki Swift V,https://www.otomoto.pl/oferta/suzuki-swift-1-wlasciciel-krajowy-fv-23-zamiana-rozliczenie-ID6BOkP6.html#19d36f26aa,2015 ,149 300 km,1 242 cm3,Benzyna,23 900,PLN,Rybnik,(Śląskie)
Opel Corsa 1.2,https://www.otomoto.pl/oferta/opel-corsa-13-14-lpg-krajowy-stan-bardzo-dobry-bez-korozji-ID6DpDTs.html#19d36f26aa,2014 ,188 000 km,1 229 cm3,Benzyna+LPG,17 900,PLN,Dąbrowa Górnicza,(Śląskie)
Suzuki Swift 1.6,https://www.otomoto.pl/oferta/suzuki-swift-snieznobiala-suzuki-swift-od-osoby-prywatnej-ID6DutpW.html#19d36f26aa,2014 ,54 000 km,1 586 cm3,Benzyna,34 900,PLN,Kutno,(Łódzkie)
Mini Clubman,https://www.otomoto.pl/oferta/mini-clubman-mini-clubman-john-cooper-works-all4-wersja-limitowana-306km-wyprzedaz-ID6Dm3VG.html#19d36f26aa,2020 ,5 km,1 998 cm3,Benzyna,198 900,PLN,Katowice,(Śląskie)
Škoda Superb,https://www.otomoto.pl/oferta/skoda-superb-2-0-tdi-150-km-dsg-7-biegowa-polski-salon-2018-rok-ID6Di29i.html#19d36f26aa,2018 ,69 080 km,1 968 cm3,Diesel,87 500,PLN,Katowice,(Śląskie)
Fiat Bravo,https://www.otomoto.pl/oferta/fiat-bravo-1-4-tjet-120km-nawigacja-klimatronik-ID6DvwPr.html#19d36f26aa,2009 ,176 000 km,1 400 cm3,Benzyna,18 500,PLN,Jarosław,(Podkarpackie)
Renault Captur,https://www.otomoto.pl/oferta/renault-captur-full-led-automat-zarejestrowany-ID6DvwPc.html#19d36f26aa,2018 ,28 000 km,1 200 cm3,Benzyna,54 990,PLN,Słupca,(Wielkopolskie)
Honda Civic 1.8,https://www.otomoto.pl/oferta/honda-civic-type-s-1-8-benzyna-nawigacja-ID6DnysX.html#19d36f26aa,2008 ,220 000 km,1 799 cm3,Benzyna,21 500,PLN,Lublin,(Lubelskie)
Dodge Durango,https://www.otomoto.pl/oferta/dodge-durango-ID6Dhk1r.html#19d36f26aa,2013 ,128 000 km,3 600 cm3,Benzyna,65 000,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Hyundai Kona,https://www.otomoto.pl/oferta/hyundai-kona-electric-204km-64kwh-premium-salon-polska-1wl-navi-led-gwarancja-fv23-ID6DwqtL.html#19d36f26aa,2019 ,26 900 km,,Elektryczny,134 900,PLN,Łódź,(Łódzkie)
Volkswagen Caddy,https://www.otomoto.pl/oferta/volkswagen-caddy-2-0-tdi-150km-navi-tempomat-2016r-sprowadzony-ID6DkUh9.html#19d36f26aa,2016 ,304 000 km,2 000 cm3,Diesel,40 467,PLN,Majdan Sieniawski,(Podkarpackie)
Subaru Forester 2.0GX,https://www.otomoto.pl/oferta/subaru-forester-full-4x4-webasto-2-0-skora-2xalu-bezwypadek-superstan-okazja-gwarancja-ID6Due6O.html#19d36f26aa,2003 ,188 000 km,1 994 cm3,Benzyna,8 900,PLN,Ochaby Małe,(Śląskie)
BMW Seria 1,https://www.otomoto.pl/oferta/bmw-seria-1-bmw-118i-produkcja-automat-nawigacja-ID6DccbE.html#19d36f26aa,2020 ,5 km,1 599 cm3,Benzyna,103 782,PLN,Gdańsk,(Pomorskie)
Seat Exeo,https://www.otomoto.pl/oferta/seat-exeo-seat-exeo-sport-2-0tdi-ID6Dbi4l.html#19d36f26aa,2009 ,216 000 km,1 968 cm3,Diesel,22 900,PLN,Syców,(Dolnośląskie)
Volvo V60,https://www.otomoto.pl/oferta/volvo-v60-d2-led-navi-skora-aso-gwarancja-ID6Ds9Iq.html#19d36f26aa,2014 ,157 000 km,1 600 cm3,Diesel,44 900,PLN,Kamienna Góra,(Dolnośląskie)
Volkswagen up! 1.0,https://www.otomoto.pl/oferta/volkswagen-up-move-salon-polska-1-wl-gaz-lpg-5-drzwi-serwis-lift-ID6DwqmR.html#19d36f26aa,2016 ,81 000 km,999 cm3,Benzyna+LPG,28 700,PLN,Siekierki Wielkie,(Wielkopolskie)
Volvo XC 60 2.4D,https://www.otomoto.pl/oferta/volvo-xc-60-2-4-diesel-super-stan-ladny-kola-zimowe-ID6DhmqB.html#19d36f26aa,2009 ,230 000 km,2 400 cm3,Diesel,42 900,PLN,Zamość,(Lubelskie)
Volkswagen Golf,https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-vi-1-2-tsi-rok-2013-maly-przebieg-ID6Dmcms.html#19d36f26aa,2013 ,66 801 km,1 197 cm3,Benzyna,32 500,PLN,Warszawa,(Mazowieckie)
Volkswagen Multivan,https://www.otomoto.pl/oferta/volkswagen-multivan-highline-4motion-salon-pl-bixenon-ledy-alkantara-180km-ID6DnbVy.html#19d36f26aa,2012 ,214 000 km,2 000 cm3,Diesel,82 900,PLN,Nasielsk,(Mazowieckie)
Audi A3 2.0,https://www.otomoto.pl/oferta/audi-a3-audi-a3-s-line-ID6Dwqt7.html#19d36f26aa,2004 ,238 824 km,1 968 cm3,Diesel,12 800,PLN,Paczków,(Opolskie)
Volkswagen Polo 1.2,https://www.otomoto.pl/oferta/volkswagen-polo-volkswagen-vw-polo-1-2-benzyna-tylko-109-000-km-9n-ID6DvwPB.html#3ba2977082,2003 ,109 000 km,1 198 cm3,Benzyna,4 900,PLN,Krzyż Wielkopolski,(Wielkopolskie)
Suzuki Swift V,https://www.otomoto.pl/oferta/suzuki-swift-1-wlasciciel-krajowy-fv-23-zamiana-rozliczenie-ID6BOkP6.html#3ba2977082,2015 ,149 300 km,1 242 cm3,Benzyna,23 900,PLN,Rybnik,(Śląskie)
Opel Corsa 1.2,https://www.otomoto.pl/oferta/opel-corsa-13-14-lpg-krajowy-stan-bardzo-dobry-bez-korozji-ID6DpDTs.html#3ba2977082,2014 ,188 000 km,1 229 cm3,Benzyna+LPG,17 900,PLN,Dąbrowa Górnicza,(Śląskie)
Suzuki Swift 1.6,https://www.otomoto.pl/oferta/suzuki-swift-snieznobiala-suzuki-swift-od-osoby-prywatnej-ID6DutpW.html#3ba2977082,2014 ,54 000 km,1 586 cm3,Benzyna,34 900,PLN,Kutno,(Łódzkie)
Mini Clubman,https://www.otomoto.pl/oferta/mini-clubman-mini-clubman-john-cooper-works-all4-wersja-limitowana-306km-wyprzedaz-ID6Dm3VG.html#3ba2977082,2020 ,5 km,1 998 cm3,Benzyna,198 900,PLN,Katowice,(Śląskie)
Škoda Superb,https://www.otomoto.pl/oferta/skoda-superb-2-0-tdi-150-km-dsg-7-biegowa-polski-salon-2018-rok-ID6Di29i.html#3ba2977082,2018 ,69 080 km,1 968 cm3,Diesel,87 500,PLN,Katowice,(Śląskie)
Fiat Bravo,https://www.otomoto.pl/oferta/fiat-bravo-1-4-tjet-120km-nawigacja-klimatronik-ID6DvwPr.html#3ba2977082,2009 ,176 000 km,1 400 cm3,Benzyna,18 500,PLN,Jarosław,(Podkarpackie)
Renault Captur,https://www.otomoto.pl/oferta/renault-captur-full-led-automat-zarejestrowany-ID6DvwPc.html#3ba2977082,2018 ,28 000 km,1 200 cm3,Benzyna,54 990,PLN,Słupca,(Wielkopolskie)
Honda Civic 1.8,https://www.otomoto.pl/oferta/honda-civic-type-s-1-8-benzyna-nawigacja-ID6DnysX.html#3ba2977082,2008 ,220 000 km,1 799 cm3,Benzyna,21 500,PLN,Lublin,(Lubelskie)
Dodge Durango,https://www.otomoto.pl/oferta/dodge-durango-ID6Dhk1r.html#3ba2977082,2013 ,128 000 km,3 600 cm3,Benzyna,65 000,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Hyundai Kona,https://www.otomoto.pl/oferta/hyundai-kona-electric-204km-64kwh-premium-salon-polska-1wl-navi-led-gwarancja-fv23-ID6DwqtL.html#3ba2977082,2019 ,26 900 km,,Elektryczny,134 900,PLN,Łódź,(Łódzkie)
Volkswagen Caddy,https://www.otomoto.pl/oferta/volkswagen-caddy-2-0-tdi-150km-navi-tempomat-2016r-sprowadzony-ID6DkUh9.html#3ba2977082,2016 ,304 000 km,2 000 cm3,Diesel,40 467,PLN,Majdan Sieniawski,(Podkarpackie)
Subaru Forester 2.0GX,https://www.otomoto.pl/oferta/subaru-forester-full-4x4-webasto-2-0-skora-2xalu-bezwypadek-superstan-okazja-gwarancja-ID6Due6O.html#3ba2977082,2003 ,188 000 km,1 994 cm3,Benzyna,8 900,PLN,Ochaby Małe,(Śląskie)
BMW Seria 1,https://www.otomoto.pl/oferta/bmw-seria-1-bmw-118i-produkcja-automat-nawigacja-ID6DccbE.html#3ba2977082,2020 ,5 km,1 599 cm3,Benzyna,103 782,PLN,Gdańsk,(Pomorskie)
Seat Exeo,https://www.otomoto.pl/oferta/seat-exeo-seat-exeo-sport-2-0tdi-ID6Dbi4l.html#3ba2977082,2009 ,216 000 km,1 968 cm3,Diesel,22 900,PLN,Syców,(Dolnośląskie)
Volvo V60,https://www.otomoto.pl/oferta/volvo-v60-d2-led-navi-skora-aso-gwarancja-ID6Ds9Iq.html#3ba2977082,2014 ,157 000 km,1 600 cm3,Diesel,44 900,PLN,Kamienna Góra,(Dolnośląskie)
Volkswagen up! 1.0,https://www.otomoto.pl/oferta/volkswagen-up-move-salon-polska-1-wl-gaz-lpg-5-drzwi-serwis-lift-ID6DwqmR.html#3ba2977082,2016 ,81 000 km,999 cm3,Benzyna+LPG,28 700,PLN,Siekierki Wielkie,(Wielkopolskie)
Volvo XC 60 2.4D,https://www.otomoto.pl/oferta/volvo-xc-60-2-4-diesel-super-stan-ladny-kola-zimowe-ID6DhmqB.html#3ba2977082,2009 ,230 000 km,2 400 cm3,Diesel,42 900,PLN,Zamość,(Lubelskie)
Volkswagen Golf,https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-vi-1-2-tsi-rok-2013-maly-przebieg-ID6Dmcms.html#3ba2977082,2013 ,66 801 km,1 197 cm3,Benzyna,32 500,PLN,Warszawa,(Mazowieckie)
Volkswagen Multivan,https://www.otomoto.pl/oferta/volkswagen-multivan-highline-4motion-salon-pl-bixenon-ledy-alkantara-180km-ID6DnbVy.html#3ba2977082,2012 ,214 000 km,2 000 cm3,Diesel,82 900,PLN,Nasielsk,(Mazowieckie)
Audi A3 2.0,https://www.otomoto.pl/oferta/audi-a3-audi-a3-s-line-ID6Dwqt7.html#3ba2977082,2004 ,238 824 km,1 968 cm3,Diesel,12 800,PLN,Paczków,(Opolskie)
Fiat Grande Punto 1.4,https://www.otomoto.pl/oferta/fiat-grande-punto-fiat-grande-punto-1-4-8v-krajowy-ID6DvwOV.html#3ba2977082,2008 ,200 000 km,1 368 cm3,Benzyna,8 800,PLN,Złochowice,(Śląskie)
Opel Astra,https://www.otomoto.pl/oferta/opel-astra-1-4b-79-tys-km-2014r-sprowadzony-gwarancja-ID6DaC1A.html#3ba2977082,2014 ,79 000 km,1 400 cm3,Benzyna,30 900,PLN,Majdan Sieniawski,(Podkarpackie)
Ford Mondeo,https://www.otomoto.pl/oferta/ford-mondeo-full-led-asystent-parkowania-kolor-navi-24-miesiace-gwarancj-ID6DuGZL.html#3ba2977082,2015 ,160 000 km,1 600 cm3,Diesel,45 900,PLN,Sosnowiec,(Śląskie)
Kia Rio 1.4,https://www.otomoto.pl/oferta/kia-rio-1-4-gaz-sekwencyjny-salon-pl-po-kolizji-drogowej-ID6Dppjk.html#3ba2977082,2006 ,230 000 km,1 399 cm3,Benzyna+LPG,4 250,PLN,Łukówiec,(Mazowieckie)
Mazda CX-3,https://www.otomoto.pl/oferta/mazda-cx-3-mazda-cx-3-ID6DrTTe.html#3ba2977082,2016 ,92 000 km,1 500 cm3,Diesel,50 000,PLN,Chrzanów,(Małopolskie)
Hyundai i40 1.7,https://www.otomoto.pl/oferta/hyundai-i40-premium-xenon-nawigacja-skora-automat-asystent-parkowania-8-kol-ID6Dwqtk.html#3ba2977082,2014 ,170 000 km,1 685 cm3,Diesel,42 900,PLN,Nasielsk,(Mazowieckie)
Opel Meriva,https://www.otomoto.pl/oferta/opel-meriva-1-4100kmsalon-polskapewny-zakup-od-dealera55tys-km-ID6DvwPk.html#3ba2977082,2015 ,55 000 km,1 398 cm3,Benzyna,32 500,PLN,Bąków,(Śląskie)
Volkswagen Golf Alltrack,https://www.otomoto.pl/oferta/volkswagen-golf-4x4-alltrack-dsg-180km-krajowy-serwis-aso-acc-led-fv23-ID6DupHP.html#3ba2977082,2016 ,116 000 km,1 798 cm3,Benzyna,66 900,PLN,Dąbrowa Górnicza,(Śląskie)
Citroën C5 II,https://www.otomoto.pl/oferta/citroen-c5-citroen-c5-sx-1-6-diesel-przebieg-163-tys-bardzo-zadbany-ID6Dqmqv.html#3ba2977082,2005 ,163 000 km,1 560 cm3,Diesel,8 800,PLN,Opole,(Opolskie)
Porsche 718 Boxster S,https://www.otomoto.pl/oferta/porsche-718-boxster-718-s-boxter-ID6Dwqt3.html#3ba2977082,2016 ,103 800 km,2 497 cm3,Benzyna,230 000,PLN,Wrocław,(Dolnośląskie)
Mercedes-Benz Viano,https://www.otomoto.pl/oferta/mercedes-benz-viano-ID6DtuSv.html#3ba2977082,2012 ,215 000 km,2 143 cm3,Diesel,63 500,PLN,Jarocin,(Wielkopolskie)
Toyota Avensis 2.2,https://www.otomoto.pl/oferta/toyota-avensis-sprzedam-toyota-avensis-2-2d4d-150km-skora-navi-kamera-cofania-ID6D7fi9.html#9e4b07dfe3,2011 ,208 000 km,2 231 cm3,Diesel,30 000,PLN,Tarnów,(Małopolskie)
Volkswagen Touareg 3.0,https://www.otomoto.pl/oferta/volkswagen-touareg-cesja-leasingu-tylko-3496-zl-n-mies-touareg-3-0-v6-tdi-scr-286-km-ID6DuGZa.html#9e4b07dfe3,2018 ,107 034 km,2 967 cm3,Diesel,286 107,PLN,Szczecin,(Zachodniopomorskie)
Chevrolet Aveo 1.2,https://www.otomoto.pl/oferta/chevrolet-aveo-1-2-84-km-5drzwi-klima-124tys-km-z-niemiec-ID6DrSb5.html#9e4b07dfe3,2008 ,124 543 km,1 206 cm3,Benzyna,7 400,PLN,Żagań,(Lubuskie)
Ford Focus 1.5,https://www.otomoto.pl/oferta/ford-focus-sync-edition-gwarancja-producenta-warto-ID6D4WBG.html#9e4b07dfe3,2017 ,64 000 km,1 498 cm3,Diesel,50 499,PLN,Brzeziny,(Łódzkie)
Volkswagen Scirocco 1.4,https://www.otomoto.pl/oferta/volkswagen-scirocco-mod-2013-1-4tfsi-160km-dsg-bixenon-skora-navi-salon-polska-raty-zamian-ID6Dutq7.html#9e4b07dfe3,2012 ,158 000 km,1 390 cm3,Benzyna,37 500,PLN,Strobice,(Opolskie)
Peugeot 508,https://www.otomoto.pl/oferta/peugeot-508-automat-navi-xenon-led-gwarancja-ID6DnLWZ.html#9e4b07dfe3,2011 ,190 000 km,1 600 cm3,Diesel,26 900,PLN,Kamienna Góra,(Dolnośląskie)
Opel Astra 1.7,https://www.otomoto.pl/oferta/opel-astra-atrakcyjny-navi-alu-nowe-opony-zarejestrowany-lifting-ID6DucOu.html#9e4b07dfe3,2013 ,230 000 km,1 686 cm3,Diesel,20 900,PLN,Kielce,(Świętokrzyskie)
Peugeot 207,https://www.otomoto.pl/oferta/peugeot-207-95km-lpg-panorama-wersja-64-niski-przebieg-zadbany-ID6DutjT.html#9e4b07dfe3,2010 ,94 000 km,1 397 cm3,Benzyna+LPG,17 700,PLN,Rybnik,(Śląskie)
Honda CR-V 2.0,https://www.otomoto.pl/oferta/honda-cr-v-lift-salonpl-137tys-km-4x4-2-0-150km-oryg-lakier-bogata-wersja-ID6Dwqss.html#9e4b07dfe3,2011 ,137 000 km,1 997 cm3,Benzyna,49 900,PLN,Rawa Mazowiecka,(Łódzkie)
Volkswagen Phaeton 5.0,https://www.otomoto.pl/oferta/volkswagen-phaeton-5-0tdi-313km-zarejestrowany-w-polsce-ID6Dwfgn.html#9e4b07dfe3,2003 ,177 868 km,4 921 cm3,Diesel,7 900,PLN,Gniezno,(Wielkopolskie)
Mercedes-Benz,https://www.otomoto.pl/oferta/mercedes-benz-200-d-progressive-kamera360-keylessgo-ID6DwQQG.html#9e4b07dfe3,2020 ,10 km,1 950 cm3,Diesel,212 212,PLN,Łódź,(Łódzkie)
Jaguar,https://www.otomoto.pl/oferta/jaguar-xk-120-xk120-ots-roadster-1950-ID6Dwqhn.html#9e4b07dfe3,1950 ,99 999 km,3 400 cm3,Benzyna,199 500,PLN,Mińsk Mazowiecki,(Mazowieckie)
Renault Clio Grandtour,https://www.otomoto.pl/oferta/renault-clio-sprzedam-ID6DvwMI.html#9e4b07dfe3,2016 ,180 000 km,1 461 cm3,Diesel,26 000,PLN,Pelplin,(Pomorskie)
Ford Tourneo Courier,https://www.otomoto.pl/oferta/ford-tourneo-courier-polski-salon-niski-przebieg-super-stan-ID6DqV2h.html#9e4b07dfe3,2015 ,95 902 km,1 560 cm3,Diesel,32 500,PLN,Wrocław,(Dolnośląskie)
Renault Grand Scenic,https://www.otomoto.pl/oferta/renault-grand-scenic-2-0-135km-benzyna-navi-klimatronik-czujniki-parkowania-serwisowany-ID6DmOiQ.html#9e4b07dfe3,2007 ,180 612 km,1 998 cm3,Benzyna,13 500,PLN,Szamotuły,(Wielkopolskie)
Ford Fusion,https://www.otomoto.pl/oferta/ford-fusion-plus-1-6-benzyna-klimatyzacja-serwisowany-sprowadzony-ID6BXVOr.html#9e4b07dfe3,2004 ,186 000 km,1 600 cm3,Benzyna,8 500,PLN,Szamotuły,(Wielkopolskie)
Citroën C4 1.6,https://www.otomoto.pl/oferta/citroen-c4-po-lifcie-bez-dwumasy-bez-dpf-ID6Dutpp.html#9e4b07dfe3,2009 ,276 000 km,1 560 cm3,Diesel,10 500,PLN,Janowiec Wielkopolski,(Kujawsko-pomorskie)
Mercedes-Benz Klasa A,https://www.otomoto.pl/oferta/mercedes-benz-klasa-a-1-5-95-km-benzyna-klima-podgrzewane-fotele-alufelgi-przebieg-udokumen-ID6BCFgr.html#9e4b07dfe3,2006 ,199 000 km,1 500 cm3,Benzyna,8 900,PLN,Szamotuły,(Wielkopolskie)
Nissan Note 1.6,https://www.otomoto.pl/oferta/nissan-note-1-6-110km-benzyna-5-drzwi-klimatronic-przebieg-udokumentowany-ID6D7yoE.html#9e4b07dfe3,2006 ,142 000 km,1 598 cm3,Benzyna,12 900,PLN,Szamotuły,(Wielkopolskie)
Citroën Berlingo,https://www.otomoto.pl/oferta/citroen-berlingo-1-6-16v-110km-benzyna-2x-drzwi-suwane-przebieg-udokumentowany-ID6DmOsf.html#9e4b07dfe3,2003 ,232 000 km,1 587 cm3,Benzyna,7 900,PLN,Szamotuły,(Wielkopolskie)
Peugeot 207,https://www.otomoto.pl/oferta/peugeot-207-sw-1-4-95km-benzyna-panorama-klima-serwisowany-ID6BDCX9.html#9e4b07dfe3,2007 ,147 000 km,1 400 cm3,Benzyna,10 900,PLN,Szamotuły,(Wielkopolskie)
Nissan Micra K12,https://www.otomoto.pl/oferta/nissan-micra-1-2-po-lifcie-benzyna-5-drzwi-klimatyzacja-przebieg-udokumentowany-ID6CCDC8.html#9e4b07dfe3,2005 ,164 000 km,1 240 cm3,Benzyna,8 500,PLN,Szamotuły,(Wielkopolskie)
Škoda Roomster,https://www.otomoto.pl/oferta/skoda-roomster-1-6-105km-benzyna-panoramadach-klimatronik-przebieg-udokumentowany-ID6Clphg.html#9e4b07dfe3,2006 ,197 000 km,1 600 cm3,Benzyna,13 900,PLN,Szamotuły,(Wielkopolskie)
Ford C-MAX,https://www.otomoto.pl/oferta/ford-c-max-ghia-1-8-125km-benzyna-climatronic-przebieg-udokumentowany-ID6D5OGS.html#9e4b07dfe3,2004 ,240 000 km,1 798 cm3,Benzyna,9 900,PLN,Szamotuły,(Wielkopolskie)
Ford KA,https://www.otomoto.pl/oferta/ford-ka-1-2-69km-benzyna-titanuim-klimatyzacja-przebieg-udokumentowany-ID6DiLfO.html#9e4b07dfe3,2009 ,178 837 km,1 242 cm3,Benzyna,11 900,PLN,Szamotuły,(Wielkopolskie)
Dacia Sandero I,https://www.otomoto.pl/oferta/dacia-sandero-1-6-87km-benzyna-przebieg-udokumentowany-klimatyzacja-ID6CIr9V.html#9e4b07dfe3,2009 ,162 142 km,1 600 cm3,Benzyna,11 900,PLN,Szamotuły,(Wielkopolskie)
Mazda 2 1.3,https://www.otomoto.pl/oferta/mazda-2-1-35-85km-benzyna-5-drzwi-klimatyzacja-przebieg-udokumentowany-ID6DmPjm.html#9e4b07dfe3,2009 ,173 922 km,1 349 cm3,Benzyna,14 500,PLN,Szamotuły,(Wielkopolskie)
Mini Cooper S Standard,https://www.otomoto.pl/oferta/mini-cooper-s-mini-cooper-s-r56-nowy-model-wersja-active-ID6DmOfL.html#9e4b07dfe3,2007 ,186 000 km,1 598 cm3,Benzyna,23 100,PLN,Tarnowskie Góry,(Śląskie)
Seat Ibiza 1.4,https://www.otomoto.pl/oferta/seat-ibiza-1-4mpi-klima-nowe-opony-hamulce-bez-korozji-ID6Dw6d6.html#9e4b07dfe3,2004 ,219 927 km,1 390 cm3,Benzyna,5 700,PLN,Bolesławiec,(Dolnośląskie)
Samochód osobowy,https://www.otomoto.pl/oferta/anaig-sport-ID6DvwMX.html#9e4b07dfe3,2019 ,2 500 km,,Elektryczny,15 867,PLN,Leszno,(Wielkopolskie)
Kia Sportage 1.7,https://www.otomoto.pl/oferta/kia-sportage-sprzedam-kia-sportage-ID6DvwJb.html#9e4b07dfe3,2010 ,185 000 km,1 685 cm3,Diesel,36 000,PLN,Września,(Wielkopolskie)
Fiat Stilo,https://www.otomoto.pl/oferta/fiat-stilo-fiat-stilo-1-9-jtd-115-km-bezwypadkowy-klima-ID6DtwP3.html#9e4b07dfe3,2002 ,313 000 km,1 910 cm3,Diesel,3 550,PLN,Grodków,(Opolskie)
Škoda Octavia,https://www.otomoto.pl/oferta/skoda-octavia-kombi-1-wlasciciel-ID6Da6hi.html#48a462d345,2012 ,147 500 km,1 968 cm3,Diesel,31 000,PLN,Las Zawadzki,(Łódzkie)
Mercedes-Benz Klasa C 220,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-mercedes-benz-w203-ID6DqlIs.html#48a462d345,2004 ,195 000 km,2 148 cm3,Diesel,16 000,PLN,Pułtusk,(Mazowieckie)
Kia Ceed Cee'd,https://www.otomoto.pl/oferta/kia-ceed-1-6-crdi-comfort-lift-klima-elektryka-salon-pl-po-stluczce-03-2010-ID6Drruf.html#48a462d345,2009 ,400 000 km,1 582 cm3,Diesel,8 250,PLN,Łukówiec,(Mazowieckie)
Mercedes-Benz Klasa S 320,https://www.otomoto.pl/oferta/mercedes-benz-klasa-s-sprowadzony-po-oplatach-ID6D3YHh.html#48a462d345,2006 ,284 000 km,2 987 cm3,Diesel,38 300,PLN,Tarnowiec,(Małopolskie)
Mitsubishi Outlander,https://www.otomoto.pl/oferta/mitsubishi-outlander-2-0i-benzyna-4x4-rallyart-ID6DcuqM.html#48a462d345,2006 ,146 000 km,2 000 cm3,Benzyna,15 900,PLN,Radom,(Mazowieckie)
Toyota Avensis 1.8,https://www.otomoto.pl/oferta/toyota-avensis-avensis-1-8-premium-business-executive-bezwypadkowa-serwisowana-w-aso-ID6DvwFM.html#48a462d345,2014 ,64 942 km,1 798 cm3,Benzyna,55 900,PLN,Kraków,(Małopolskie)
Fiat Sedici 1.6,https://www.otomoto.pl/oferta/fiat-sedici-maly-przebieg-138-tys-km-naped-4x4-ID6Dutpa.html#48a462d345,2008 ,138 000 km,1 586 cm3,Benzyna,17 500,PLN,Gryfice,(Zachodniopomorskie)
Volkswagen Polo 1.2,https://www.otomoto.pl/oferta/volkswagen-polo-vw-polo-lpg-sekwencja-alu-klima-ladny-ID6Dwqrz.html#48a462d345,2005 ,235 500 km,1 198 cm3,Benzyna+LPG,8 800,PLN,Wrocław,(Dolnośląskie)
Mitsubishi Colt 1.3,https://www.otomoto.pl/oferta/mitsubishi-colt-1-3-benzyna-lpg-95-km-nowa-butla-2-kop-opon-zarejestrowany-ID6DvwNN.html#48a462d345,2010 ,212 120 km,1 332 cm3,Benzyna+LPG,14 999,PLN,Bucze,(Małopolskie)
Hyundai i40 i40cw,https://www.otomoto.pl/oferta/hyundai-i40-xenon-ledy-kamera-cofania-nawigacja-grzane-fotele-gwaranjca-vip-ID6Dwqs7.html#48a462d345,2012 ,180 249 km,1 685 cm3,Diesel,33 700,PLN,Elbląg,(Warmińsko-mazurskie)
Citroën C4 Grand Picasso 1.6,https://www.otomoto.pl/oferta/citroen-c4-grand-picasso-1-6-hdi-110km-7-osobowy-klima-aluski-czarny-2008r-okazja-ID6DwpCw.html#48a462d345,2008 ,271 000 km,1 560 cm3,Diesel,7 999,PLN,Katowice,(Śląskie)
Volkswagen Golf,https://www.otomoto.pl/oferta/volkswagen-golf-1-2-tsi-comfortline-xenon-salon-pl-1wl-gwarancja-ID6Due5t.html#48a462d345,2016 ,105 000 km,1 197 cm3,Benzyna,44 900,PLN,Warszawa,(Mazowieckie)
Opel Adam,https://www.otomoto.pl/oferta/opel-adam-1-4-unlimited-salon-pl-i-wlasciciel-serwisowany-w-aso-ID6Di9SW.html#48a462d345,2017 ,132 000 km,1 400 cm3,Benzyna,29 900,PLN,Skępe,(Kujawsko-pomorskie)
