title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Mazda CX-5,https://www.otomoto.pl/oferta/mazda-cx-5-2-0-skyactiv-g-165km-automat-sky-passion-kola-zimowe-biala-skora-ID6DuUdf.html#056c45a62b,2020 ,1 km,1 998 cm3,Benzyna,148 251,PLN,Chorzów,(Śląskie)
BMW X5,https://www.otomoto.pl/oferta/bmw-x5-bmw-x5-m50d-400-km-ostatnie-sztuki-w-polsce-ID6DisUv.html#056c45a62b,2020 ,5 km,2 993 cm3,Diesel,553 900,PLN,Łódź,(Łódzkie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-535d-xdrive-313-km-bogate-wyposazenie-fv23-ID6Dvm8n.html#056c45a62b,2017 ,135 500 km,2 993 cm3,Diesel,73 700,PLN,Wojcieszyn,(Mazowieckie)
Kia Sorento,https://www.otomoto.pl/oferta/kia-sorento-kia-sorento-4x4-ex-ID6Dt206.html#d168bb9cd0,2003 ,240 000 km,2 351 cm3,Benzyna+LPG,16 900,PLN,Poznań,(Wielkopolskie)
Citroën DS5 2.0,https://www.otomoto.pl/oferta/citroen-ds5-keylessgo-masaze-headup-kamera-panorama-max-opcja-ID6Dsa41.html#d168bb9cd0,2012 ,177 000 km,1 997 cm3,Diesel,38 800,PLN,Ryki,(Lubelskie)
BMW X5,https://www.otomoto.pl/oferta/bmw-x5-bmw-x5-m50d-400-km-ostatnie-sztuki-w-polsce-ID6DisH8.html#d168bb9cd0,2020 ,5 km,2 993 cm3,Diesel,553 900,PLN,Łódź,(Łódzkie)
BMW X6 xDrive40d,https://www.otomoto.pl/oferta/bmw-x6-4-0d-313km-bezwypadkowy-salon-pl-bmw-m-cars-m-pakiet-fv-vat-23-ID6Dvm94.html#d168bb9cd0,2017 ,53 000 km,2 993 cm3,Diesel,219 000,PLN,Warszawa,(Mazowieckie)
Audi A4,https://www.otomoto.pl/oferta/audi-a4-2017-rok-bezwypadkowa-serwis-100-ID6Dsmds.html#d168bb9cd0,2017 ,181 770 km,1 995 cm3,Diesel,63 900,PLN,Bielawa,(Dolnośląskie)
Renault Megane 1.4,https://www.otomoto.pl/oferta/renault-megane-1-4-tce-130ps-1w-klimatronik-pdc-aso-reno-jak-nowy-gwarancja-ID6DuUce.html#d168bb9cd0,2009 ,160 000 km,1 397 cm3,Benzyna,21 500,PLN,Zagórze,(Małopolskie)
BMW X3,https://www.otomoto.pl/oferta/bmw-x3-bmw-x3-xdrive20d-ID6DmIiu.html#d168bb9cd0,2020 ,5 km,1 995 cm3,Diesel,234 000,PLN,Łódź,(Łódzkie)
BMW X3,https://www.otomoto.pl/oferta/bmw-x3-bmw-x3-xdrive20d-ID6DmIiD.html#d168bb9cd0,2020 ,5 km,1 995 cm3,Diesel,226 000,PLN,Łódź,(Łódzkie)
Škoda Roomster,https://www.otomoto.pl/oferta/skoda-roomster-benzyna-perfekcyjny-stan-jak-nowa-orginal-lak-z-niemiec-ID6Dvm75.html#d168bb9cd0,2010 ,136 000 km,1 200 cm3,Benzyna,16 900,PLN,Brzozów,(Podkarpackie)
Volkswagen Touran,https://www.otomoto.pl/oferta/volkswagen-touran-style-7-osob-alcantara-grzane-fotele-gwarancja-bezwypadek-serwis-ID6Dkp2G.html#d168bb9cd0,2011 ,204 300 km,1 598 cm3,Diesel,33 499,PLN,Kąty Opolskie,(Opolskie)
Hyundai I30,https://www.otomoto.pl/oferta/hyundai-i30-klimatyzacja-elektryka-gwarancja-bezwypadkowy-serwis-aso-zadbany-ID6Dta80.html#d168bb9cd0,2011 ,134 100 km,1 396 cm3,Benzyna,22 999,PLN,Kąty Opolskie,(Opolskie)
Ford Mondeo,https://www.otomoto.pl/oferta/ford-mondeo-salon-pl-converse-led-climatronic-czujniki-gwarancja-bezwypadek-ID6Dp0Jo.html#d168bb9cd0,2013 ,196 000 km,1 997 cm3,Diesel,34 999,PLN,Kąty Opolskie,(Opolskie)
BMW X3,https://www.otomoto.pl/oferta/bmw-x3-bmw-x3-xdrive20d-ID6DmIiA.html#d168bb9cd0,2020 ,5 km,1 995 cm3,Diesel,224 303,PLN,Łódź,(Łódzkie)
Ford S-Max,https://www.otomoto.pl/oferta/ford-s-max-2-komplety-kol-czujniki-climatronic-gwarancja-bezwypadek-serwis-ID6DgUv2.html#d168bb9cd0,2009 ,195 500 km,1 997 cm3,Diesel,26 999,PLN,Kąty Opolskie,(Opolskie)
Ford Mondeo,https://www.otomoto.pl/oferta/ford-mondeo-titanium-converse-navi-czujniki-alu-gwarancja-bezwypadek-serwis-ID6Dt9P3.html#d168bb9cd0,2010 ,168 200 km,1 998 cm3,Diesel,27 999,PLN,Kąty Opolskie,(Opolskie)
Renault Koleos,https://www.otomoto.pl/oferta/renault-koleos-intens-2-0-dci-175km-x-tronic-4x4-ekran-8-7-niski-przebieg-okazja-ID6DuUaw.html#d168bb9cd0,2019 ,16 045 km,1 995 cm3,Diesel,109 000,PLN,Chorzów,(Śląskie)
Opel Meriva 1.6,https://www.otomoto.pl/oferta/opel-meriva-1-6i-105ps1wl-klimatronik-elektryka-serwis-super-stan-gwarancja-ID6DuUao.html#d168bb9cd0,2009 ,147 000 km,1 598 cm3,Benzyna,14 990,PLN,Zagórze,(Małopolskie)
Volkswagen Passat 2.0,https://www.otomoto.pl/oferta/volkswagen-passat-b7-diesel-kombi-polski-od-wlasciciela-swietny-stan-niezawodny-ID6Dvgjt.html#d168bb9cd0,2011 ,219 000 km,1 968 cm3,Diesel,29 900,PLN,Warszawa,(Mazowieckie)
Audi A4 1.6,https://www.otomoto.pl/oferta/audi-a4-audi-a4-szary-metalik-1-6-102-km-climatronic-tempomat-grz-fotele-pdc-ID6Dvm7z.html#d168bb9cd0,2007 ,117 561 km,1 595 cm3,Benzyna,25 700,PLN,Sosnowiec,(Śląskie)
Volkswagen Tiguan 1.4,https://www.otomoto.pl/oferta/volkswagen-tiguan-vw-tiguan-ii-1-4-tsi-150km-comfortline-1-wlasciciel-na-gwarancji-ID6Dth1X.html#d168bb9cd0,2017 ,30 600 km,1 395 cm3,Benzyna,79 900,PLN,Słupsk,(Pomorskie)
BMW X3,https://www.otomoto.pl/oferta/bmw-x3-bmw-x3-xdrive30e-ID6DbX0S.html#d168bb9cd0,2020 ,5 km,1 998 cm3,Hybryda,270 206,PLN,Łódź,(Łódzkie)
Audi A3 1.6,https://www.otomoto.pl/oferta/audi-a3-1-6-mpi-z-niemiec-zadbana-klimatronik-alufelga-ID6DvkzQ.html#d168bb9cd0,2006 ,200 000 km,1 595 cm3,Benzyna,14 600,PLN,Kielce,(Świętokrzyskie)
BMW Seria 5 530xd,https://www.otomoto.pl/oferta/bmw-seria-5-530d-2007-lift-235-ps-m-pakiet-x-drive-manual-webasto-4-x-4-ID6Dd3p9.html#d168bb9cd0,2007 ,286 123 km,2 993 cm3,Diesel,30 500,PLN,Szczecin,(Zachodniopomorskie)
